session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,subject
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2,223755.0,230236.0,6481.0,0.9018460718384285,0.9907901371599338,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,4,16087.0,17442.0,1355.0,0.9475379522204659,0.9968180451128652,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,5,865.0,1007.0,142.0,0.8301282051282052,0.9922860099163789,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,7,13363.0,13171.0,-192.0,0.9231928846008894,0.9807786431620242,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,8,55124.0,55398.0,274.0,0.9489513400047049,0.9814831632188413,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,10,6929.0,6906.0,-23.0,0.9640766172750271,0.999509448519608,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,11,4523.0,4570.0,47.0,0.9317057076872319,0.999813271267955,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,12,5714.0,5833.0,119.0,0.9354810773361046,0.9944863201411096,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,13,1721.0,1823.0,102.0,0.9322799097065463,0.9996523935193403,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,14,1261.0,1347.0,86.0,0.9148773006134969,0.9995567227306844,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,15,2220.0,2374.0,154.0,0.9085764040052242,0.998897060468263,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,16,20838.0,20934.0,96.0,0.9593507612754956,0.9974645461985991,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,17,3874.0,4041.0,167.0,0.9273531269740998,0.9982000511457535,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,18,2099.0,2219.0,120.0,0.8851320055581288,0.9503363216204539,1.4142135623730951,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,24,328852.0,356576.0,27724.0,0.774966882006571,0.9558654777156801,1.4142135623730951,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,26,767.0,760.0,-7.0,0.8932547478716437,0.9996331367937427,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,28,4119.0,4130.0,11.0,0.9453267062674263,0.9997004133747651,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,41,226772.0,229650.0,2878.0,0.9043122373592859,0.9929811249280507,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,43,12158.0,13333.0,1175.0,0.9385273233690322,0.9980008326494422,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,44,552.0,619.0,67.0,0.7771135781383433,0.9833314381120256,1.0,sub-02
