session1,session2,label,volume1,volume2,volume_diff,dice,surface_dice,hd95,subject
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,10,6929.0,6906.0,-23.0,0.9640766172750271,0.999509448519608,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,11,4523.0,4570.0,47.0,0.9317057076872319,0.999813271267955,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,12,5714.0,5833.0,119.0,0.9354810773361046,0.9944863201411096,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,13,1721.0,1823.0,102.0,0.9322799097065463,0.9996523935193403,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,17,3874.0,4041.0,167.0,0.9273531269740998,0.9982000511457535,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,18,2099.0,2219.0,120.0,0.8851320055581288,0.9503363216204539,1.4142135623730951,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,26,767.0,760.0,-7.0,0.8932547478716437,0.9996331367937427,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,28,4119.0,4130.0,11.0,0.9453267062674263,0.9997004133747651,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,49,7141.0,7139.0,-2.0,0.9607843137254902,0.9992680857948872,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,50,4686.0,4736.0,50.0,0.9178518361282105,0.9990016954204926,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,51,5838.0,5782.0,-56.0,0.9144578313253012,0.9961399561161344,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,52,1653.0,1718.0,65.0,0.8810442005339661,0.9964194249220619,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,53,4247.0,4298.0,51.0,0.934815681685196,0.9981357894200809,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,54,2206.0,2254.0,48.0,0.9080717488789237,0.9939211053745282,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,58,702.0,724.0,22.0,0.8976157082748948,0.9994236305518782,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,60,4183.0,4278.0,95.0,0.9254225268880747,0.9989579135678451,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1002,2806.0,2784.0,-22.0,0.8493738819320215,0.9966294865548907,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1006,1248.0,1216.0,-32.0,0.8782467532467533,0.9872364783737089,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1007,7544.0,7663.0,119.0,0.8539488393502992,0.9981128956733398,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1008,13785.0,14255.0,470.0,0.7187589158345221,0.9640569436334031,1.4142135623730951,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1012,8975.0,8956.0,-19.0,0.8418939267190898,0.9960553244121048,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1014,4153.0,4135.0,-18.0,0.8383204633204633,0.9975589535342643,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1028,24578.0,23661.0,-917.0,0.8361699040195693,0.997094852038707,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1030,17327.0,17844.0,517.0,0.8349492479599671,0.9920457429111462,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,1035,6292.0,6321.0,29.0,0.8706889716958693,0.9975922922435,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2002,2729.0,2677.0,-52.0,0.8464668886422494,0.9976589634497465,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2006,1108.0,1075.0,-33.0,0.8657810352725607,0.9984466016601193,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2007,8465.0,8478.0,13.0,0.8520332880835744,0.9980212539675282,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2008,17526.0,17378.0,-148.0,0.787588815035526,0.9870485058742229,1.0,sub-02
sub-02_ses-siteATV.long.sub02_base_all_sites,sub-02_ses-siteCOI.long.sub02_base_all_sites,2012,9163.0,9061.0,-102.0,0.821883230904302,0.9946695984843742,1.0,sub-02
